transaction_id,items
100,"atta, ghee, biscuit, soap, rice"
101,"salt, ghee, dal"
102,"oil, ghee, soap, rice, dal"
103,"dal, atta, ghee, biscuit, salt, rice"
104,"soap, rice"
105,"dal, tea, oil, ghee, salt, soap, rice"
106,"dal, atta, ghee, salt, rice"
107,"dal, atta, ghee, biscuit, salt, soap, rice"
108,"dal, atta, ghee, salt, rice"
109,"ghee, rice, atta"
110,"sugar, dal, ghee, salt, rice"
111,"ghee, rice, dal, atta"
112,"sugar, dal, ghee, biscuit, salt, rice"
113,"salt, ghee, dal, tea"
114,"ghee, dal"
115,"ghee, rice, oil"
116,"ghee, rice, dal, tea"
117,"salt, soap, sugar"
118,"salt, ghee, rice, biscuit"
119,"ghee, rice, atta"
120,"sugar, dal, ghee, salt, rice"
121,"dal, atta, ghee, biscuit, salt, rice"
122,"ghee, rice, biscuit, atta"
123,"sugar, dal, ghee, salt, rice"
124,"biscuit, ghee, rice, dal"
125,"sugar, dal, tea, ghee, biscuit, salt, rice"
126,"ghee, rice, soap, atta"
127,"dal, tea, ghee, soap, rice"
128,"soap, dal"
129,"dal, ghee, salt, soap, rice"
130,"salt, ghee, dal, soap"
131,"dal, tea, ghee, biscuit, rice"
132,"sugar, dal, ghee, salt, soap, rice"
133,"dal, tea, ghee, salt, soap, rice"
134,"dal, atta, salt, soap, rice"
135,"ghee, rice, oil"
136,"dal, tea, ghee, salt, rice"
137,tea
138,"soap, dal, biscuit"
139,"sugar, dal, oil, ghee, soap, rice"
140,"dal, ghee, salt, soap, rice"
141,"dal, oil, ghee, biscuit, rice"
142,"dal, atta, ghee, salt, rice"
143,biscuit
144,"dal, atta, salt, soap, rice"
145,"ghee, rice, biscuit"
146,"ghee, dal, soap"
147,"sugar, dal, atta, ghee, salt, rice"
148,"salt, ghee, dal, soap"
149,"dal, tea, ghee, salt, soap, rice"
150,"ghee, rice, tea, atta"
151,"biscuit, soap, rice, dal"
152,"oil, rice, dal, tea"
153,"oil, ghee, rice, dal"
154,"dal, tea, oil, ghee, rice"
155,"dal, atta, ghee, soap, rice"
156,"tea, atta, ghee, salt, rice"
157,"sugar, dal, oil, ghee, rice"
158,"biscuit, ghee, rice, dal"
159,"sugar, dal, tea, ghee, salt, rice"
160,biscuit
161,"salt, sugar, dal, tea"
162,"ghee, rice, dal, tea"
163,"ghee, sugar, rice, soap"
164,"rice, biscuit, atta"
165,"salt, dal, atta"
166,"salt, soap, dal"
167,"salt, ghee"
168,"dal, tea, atta, ghee, salt, rice"
169,sugar
170,"ghee, rice, tea, atta"
171,"rice, dal, tea"
172,"salt, sugar, rice, dal"
173,"tea, atta, salt, soap, dal"
174,"rice, tea, atta"
175,"sugar, dal, ghee, soap, rice"
176,"rice, tea"
177,"oil, rice, dal"
178,"oil, ghee, rice, dal"
179,"biscuit, dal, oil, tea"
180,"sugar, dal, ghee, salt, rice"
181,"rice, dal"
182,"sugar, dal, tea, ghee, rice"
183,"dal, tea, ghee, salt, rice"
184,"dal, ghee, salt, soap, rice"
185,"salt, soap, rice, atta"
186,"salt, soap, dal, tea"
187,"oil, ghee, rice, dal"
188,"dal, tea, ghee, biscuit, rice"
189,"biscuit, ghee, rice, dal"
190,"biscuit, sugar, rice, dal"
191,"oil, soap, rice, dal"
192,"ghee, sugar, rice, dal"
193,"tea, ghee, salt, soap, dal"
194,"dal, tea, ghee, salt, rice"
195,"dal, oil, ghee, salt, rice"
196,"sugar, dal, oil, ghee, salt, rice"
197,"dal, tea, ghee, salt, rice"
198,"soap, rice, biscuit"
199,"ghee, rice, oil"
200,"ghee, sugar, rice"
201,"salt, rice, dal"
202,"dal, atta, ghee, salt, rice"
203,"sugar, dal, ghee, biscuit, rice"
204,"ghee, rice, biscuit, tea"
205,"sugar, dal, tea, atta, ghee, salt, rice"
206,"sugar, dal, oil, ghee, salt, rice"
207,"dal, oil, ghee, salt, rice"
208,"salt, soap, ghee, dal"
209,"sugar, dal, tea, atta, ghee, salt, rice"
210,"salt, dal, tea"
211,"salt, ghee, rice, dal"
212,"ghee, rice, dal, tea"
213,"dal, tea, ghee, salt, rice"
214,atta
215,"sugar, oil, salt, soap, dal"
216,"rice, oil"
217,"sugar, dal, tea, oil, ghee, salt, rice"
218,"dal, tea, ghee, biscuit, soap, rice"
219,"dal, atta, salt, soap, rice"
220,"dal, tea, ghee, biscuit, salt, rice"
221,"dal, ghee, salt, soap, rice"
222,"sugar, dal, tea, ghee, salt, rice"
223,"dal, tea, ghee, salt, rice"
224,"sugar, dal, oil, ghee, rice"
225,"dal, oil, biscuit, salt, rice"
226,"salt, rice"
227,"salt, ghee, rice, tea"
228,"ghee, dal, atta"
229,"dal, oil, ghee, salt, soap, rice"
230,"sugar, dal, biscuit, salt, rice"
231,"dal, rice, biscuit, salt"
232,"dal, atta, ghee, salt, rice"
233,"salt, sugar, dal"
234,"dal, tea, oil, ghee, rice"
235,"salt, soap, dal"
236,"ghee, rice, biscuit"
237,"salt, ghee, rice, soap"
238,"dal, oil, atta, ghee, salt, rice"
239,"dal, tea, ghee, biscuit, rice"
240,"sugar, dal, tea, ghee, salt, rice"
241,"sugar, ghee, salt, rice, dal"
242,"dal, tea"
243,"ghee, rice, tea"
244,"sugar, dal, oil, ghee, rice"
245,"ghee, sugar, rice, oil"
246,"dal, atta, biscuit, salt, rice"
247,"dal, tea, ghee, biscuit, soap, rice"
248,"salt, rice, dal, atta"
249,"dal, tea, ghee, biscuit, rice"
250,"sugar, dal, ghee, salt, soap, rice"
251,"sugar, dal, tea, atta, ghee, rice"
252,"dal, ghee, salt, soap, rice"
253,"ghee, sugar, rice, oil"
254,"sugar, dal, oil, ghee, salt, rice"
255,"tea, atta, ghee, biscuit, rice"
256,"oil, ghee, rice, dal"
257,"rice, tea, atta"
258,"sugar, oil, salt, soap, dal"
259,"salt, ghee, dal"
260,"dal, oil, ghee, salt, rice"
261,"ghee, sugar, rice, tea"
262,"salt, ghee, rice"
263,"salt, ghee, rice, biscuit"
264,"dal, tea, atta, ghee, salt, soap, rice"
265,"rice, tea"
266,"sugar, rice"
267,"rice, dal"
268,"sugar, dal, tea, ghee, salt, rice"
269,"dal, oil, biscuit, salt, rice"
270,"dal, tea, oil, ghee, salt, soap, rice"
271,"soap, dal, oil, atta"
272,"salt, rice, dal, atta"
273,"salt, soap, rice, biscuit"
274,"ghee, rice, oil"
275,"salt, sugar, dal"
276,"dal, oil, ghee, salt, soap, rice"
277,"dal, tea, ghee, biscuit, salt, rice"
278,dal
279,"soap, tea"
280,"oil, sugar, rice, biscuit"
281,"sugar, rice, dal, atta"
282,"dal, ghee, salt, soap, rice"
283,"dal, ghee, biscuit, salt, soap, rice"
284,"dal, ghee, biscuit, salt, rice"
285,"ghee, rice, dal"
286,"rice, oil, tea"
287,"tea, oil, ghee, salt, rice"
288,"soap, rice, dal"
289,"dal, oil, ghee, salt, soap, rice"
290,"sugar, rice, tea"
291,"salt, dal, biscuit"
292,"dal, tea, ghee, salt, soap, rice"
293,"sugar, dal, oil, salt, soap, rice"
294,"salt, dal, oil, atta"
295,"rice, dal, tea"
296,"dal, tea, atta, ghee, salt, rice"
297,"dal, tea, atta, ghee, salt, rice"
298,"sugar, dal, tea, ghee, salt, rice"
299,"sugar, dal, ghee, biscuit, rice"
300,"rice, dal, atta"
